"Country or Area","Year(s)","Variant","Value"
"Iran (Islamic Republic of)","2101","Medium",""
"Iran (Islamic Republic of)","2100","Medium","1.7961"
"Iran (Islamic Republic of)","2099","Medium","1.8176"
"Iran (Islamic Republic of)","2098","Medium","1.8405"
"Iran (Islamic Republic of)","2097","Medium","1.8609"
"Iran (Islamic Republic of)","2096","Medium","1.884"
"Iran (Islamic Republic of)","2095","Medium","1.9047"
"Iran (Islamic Republic of)","2094","Medium","1.9295"
"Iran (Islamic Republic of)","2093","Medium","1.9553"
"Iran (Islamic Republic of)","2092","Medium","1.977"
"Iran (Islamic Republic of)","2091","Medium","2.0039"
"Iran (Islamic Republic of)","2090","Medium","2.0303"
"Iran (Islamic Republic of)","2089","Medium","2.0552"
"Iran (Islamic Republic of)","2088","Medium","2.0815"
"Iran (Islamic Republic of)","2087","Medium","2.1083"
"Iran (Islamic Republic of)","2086","Medium","2.1353"
"Iran (Islamic Republic of)","2085","Medium","2.1639"
"Iran (Islamic Republic of)","2084","Medium","2.1917"
"Iran (Islamic Republic of)","2083","Medium","2.221"
"Iran (Islamic Republic of)","2082","Medium","2.2466"
"Iran (Islamic Republic of)","2081","Medium","2.2768"
"Iran (Islamic Republic of)","2080","Medium","2.307"
"Iran (Islamic Republic of)","2079","Medium","2.3382"
"Iran (Islamic Republic of)","2078","Medium","2.3719"
"Iran (Islamic Republic of)","2077","Medium","2.4064"
"Iran (Islamic Republic of)","2076","Medium","2.4446"
"Iran (Islamic Republic of)","2075","Medium","2.4781"
"Iran (Islamic Republic of)","2074","Medium","2.5158"
"Iran (Islamic Republic of)","2073","Medium","2.5582"
"Iran (Islamic Republic of)","2072","Medium","2.601"
"Iran (Islamic Republic of)","2071","Medium","2.6456"
"Iran (Islamic Republic of)","2070","Medium","2.6878"
"Iran (Islamic Republic of)","2069","Medium","2.7336"
"Iran (Islamic Republic of)","2068","Medium","2.7795"
"Iran (Islamic Republic of)","2067","Medium","2.8309"
"Iran (Islamic Republic of)","2066","Medium","2.8788"
"Iran (Islamic Republic of)","2065","Medium","2.932"
"Iran (Islamic Republic of)","2064","Medium","2.9836"
"Iran (Islamic Republic of)","2063","Medium","3.0347"
"Iran (Islamic Republic of)","2062","Medium","3.0911"
"Iran (Islamic Republic of)","2061","Medium","3.1519"
"Iran (Islamic Republic of)","2060","Medium","3.2158"
"Iran (Islamic Republic of)","2059","Medium","3.2797"
"Iran (Islamic Republic of)","2058","Medium","3.342"
"Iran (Islamic Republic of)","2057","Medium","3.4146"
"Iran (Islamic Republic of)","2056","Medium","3.4829"
"Iran (Islamic Republic of)","2055","Medium","3.5607"
"Iran (Islamic Republic of)","2054","Medium","3.645"
"Iran (Islamic Republic of)","2053","Medium","3.7359"
"Iran (Islamic Republic of)","2052","Medium","3.8266"
"Iran (Islamic Republic of)","2051","Medium","3.9255"
"Iran (Islamic Republic of)","2050","Medium","4.025"
"Iran (Islamic Republic of)","2049","Medium","4.1314"
"Iran (Islamic Republic of)","2048","Medium","4.2443"
"Iran (Islamic Republic of)","2047","Medium","4.37"
"Iran (Islamic Republic of)","2046","Medium","4.5005"
"Iran (Islamic Republic of)","2045","Medium","4.633"
"Iran (Islamic Republic of)","2044","Medium","4.7739"
"Iran (Islamic Republic of)","2043","Medium","4.9161"
"Iran (Islamic Republic of)","2042","Medium","5.0659"
"Iran (Islamic Republic of)","2041","Medium","5.2246"
"Iran (Islamic Republic of)","2040","Medium","5.3811"
"Iran (Islamic Republic of)","2039","Medium","5.5514"
"Iran (Islamic Republic of)","2038","Medium","5.7303"
"Iran (Islamic Republic of)","2037","Medium","5.9117"
"Iran (Islamic Republic of)","2036","Medium","6.1066"
"Iran (Islamic Republic of)","2035","Medium","6.3012"
"Iran (Islamic Republic of)","2034","Medium","6.5089"
"Iran (Islamic Republic of)","2033","Medium","6.7258"
"Iran (Islamic Republic of)","2032","Medium","6.9426"
