"Country or Area","Year(s)","Variant","Value"
"Iran (Islamic Republic of)","2100","Medium","79906.39"
"Iran (Islamic Republic of)","2100","High","117786.974"
"Iran (Islamic Republic of)","2100","Low","52190.509"
"Iran (Islamic Republic of)","2100","Constant fertility","80061.797"
"Iran (Islamic Republic of)","2100","Instant replacement","112161.037"
"Iran (Islamic Republic of)","2100","Zero migration","84263.277"
"Iran (Islamic Republic of)","2100","Constant mortality","64064.751"
"Iran (Islamic Republic of)","2100","No change","64169.142"
"Iran (Islamic Republic of)","2100","Momentum","98636.153"
"Iran (Islamic Republic of)","2100","Instant replacement zero migration","117237.32"
"Iran (Islamic Republic of)","2100","Median PI","79906.39"
"Iran (Islamic Republic of)","2100","Upper 80 PI","97667.774"
"Iran (Islamic Republic of)","2100","Lower 80 PI","64457.643"
"Iran (Islamic Republic of)","2100","Upper 95 PI","110135.496"
"Iran (Islamic Republic of)","2100","Lower 95 PI","56831.208"
"Iran (Islamic Republic of)","2099","Medium","80380.848"
"Iran (Islamic Republic of)","2099","High","117494.356"
"Iran (Islamic Republic of)","2099","Low","53058.74"
"Iran (Islamic Republic of)","2099","Constant fertility","80526.312"
"Iran (Islamic Republic of)","2099","Instant replacement","112056.234"
"Iran (Islamic Republic of)","2099","Zero migration","84683.928"
"Iran (Islamic Republic of)","2099","Constant mortality","64673.187"
"Iran (Islamic Republic of)","2099","No change","64770.917"
"Iran (Islamic Republic of)","2099","Momentum","98736.177"
"Iran (Islamic Republic of)","2099","Instant replacement zero migration","117057.47"
"Iran (Islamic Republic of)","2099","Median PI","80380.848"
"Iran (Islamic Republic of)","2099","Upper 80 PI","97843.374"
"Iran (Islamic Republic of)","2099","Lower 80 PI","65209.239"
"Iran (Islamic Republic of)","2099","Upper 95 PI","110083.503"
"Iran (Islamic Republic of)","2099","Lower 95 PI","57647.719"
"Iran (Islamic Republic of)","2098","Medium","80850.629"
"Iran (Islamic Republic of)","2098","High","117199.398"
"Iran (Islamic Republic of)","2098","Low","53922.677"
"Iran (Islamic Republic of)","2098","Constant fertility","80982.38"
"Iran (Islamic Republic of)","2098","Instant replacement","111946.387"
"Iran (Islamic Republic of)","2098","Zero migration","85099.865"
"Iran (Islamic Republic of)","2098","Constant mortality","65290.575"
"Iran (Islamic Republic of)","2098","No change","65377.83"
"Iran (Islamic Republic of)","2098","Momentum","98837.933"
"Iran (Islamic Republic of)","2098","Instant replacement zero migration","116872.858"
"Iran (Islamic Republic of)","2098","Median PI","80850.629"
"Iran (Islamic Republic of)","2098","Upper 80 PI","98073.698"
"Iran (Islamic Republic of)","2098","Lower 80 PI","65948.379"
"Iran (Islamic Republic of)","2098","Upper 95 PI","109919.568"
"Iran (Islamic Republic of)","2098","Lower 95 PI","58491.972"
"Iran (Islamic Republic of)","2097","Medium","81316.334"
"Iran (Islamic Republic of)","2097","High","116903.502"
"Iran (Islamic Republic of)","2097","Low","54782.63"
"Iran (Islamic Republic of)","2097","Constant fertility","81431.008"
"Iran (Islamic Republic of)","2097","Instant replacement","111832.033"
"Iran (Islamic Republic of)","2097","Zero migration","85511.693"
"Iran (Islamic Republic of)","2097","Constant mortality","65914.63"
"Iran (Islamic Republic of)","2097","No change","65988.004"
"Iran (Islamic Republic of)","2097","Momentum","98939.235"
"Iran (Islamic Republic of)","2097","Instant replacement zero migration","116684.009"
"Iran (Islamic Republic of)","2097","Median PI","81316.334"
"Iran (Islamic Republic of)","2097","Upper 80 PI","98223.678"
"Iran (Islamic Republic of)","2097","Lower 80 PI","66654.813"
"Iran (Islamic Republic of)","2097","Upper 95 PI","109606.122"
"Iran (Islamic Republic of)","2097","Lower 95 PI","59406.944"
"Iran (Islamic Republic of)","2096","Medium","81777.235"
"Iran (Islamic Republic of)","2096","High","116605.869"
"Iran (Islamic Republic of)","2096","Low","55638.368"
"Iran (Islamic Republic of)","2096","Constant fertility","81873.285"
"Iran (Islamic Republic of)","2096","Instant replacement","111713.725"
"Iran (Islamic Republic of)","2096","Zero migration","85918.579"
"Iran (Islamic Republic of)","2096","Constant mortality","66541.763"
"Iran (Islamic Republic of)","2096","No change","66599.585"
"Iran (Islamic Republic of)","2096","Momentum","99037.918"
"Iran (Islamic Republic of)","2096","Instant replacement zero migration","116491.468"
"Iran (Islamic Republic of)","2096","Median PI","81777.234"
"Iran (Islamic Republic of)","2096","Upper 80 PI","98379.037"
"Iran (Islamic Republic of)","2096","Lower 80 PI","67365.322"
"Iran (Islamic Republic of)","2096","Upper 95 PI","109405.182"
"Iran (Islamic Republic of)","2096","Lower 95 PI","60247.327"
"Iran (Islamic Republic of)","2095","Medium","82232.622"
"Iran (Islamic Republic of)","2095","High","116305.929"
"Iran (Islamic Republic of)","2095","Low","56489.643"
"Iran (Islamic Republic of)","2095","Constant fertility","82310.197"
"Iran (Islamic Republic of)","2095","Instant replacement","111591.968"
"Iran (Islamic Republic of)","2095","Zero migration","86319.697"
"Iran (Islamic Republic of)","2095","Constant mortality","67168.576"
"Iran (Islamic Republic of)","2095","No change","67210.814"
"Iran (Islamic Republic of)","2095","Momentum","99131.992"
"Iran (Islamic Republic of)","2095","Instant replacement zero migration","116295.712"
"Iran (Islamic Republic of)","2095","Median PI","82232.622"
"Iran (Islamic Republic of)","2095","Upper 80 PI","98620.997"
"Iran (Islamic Republic of)","2095","Lower 80 PI","68072.591"
"Iran (Islamic Republic of)","2095","Upper 95 PI","109468.934"
"Iran (Islamic Republic of)","2095","Lower 95 PI","60919.062"
"Iran (Islamic Republic of)","2094","Medium","82682.609"
"Iran (Islamic Republic of)","2094","High","116004.436"
"Iran (Islamic Republic of)","2094","Low","57336.81"
"Iran (Islamic Republic of)","2094","Constant fertility","82743.023"
"Iran (Islamic Republic of)","2094","Instant replacement","111467.364"
"Iran (Islamic Republic of)","2094","Zero migration","86715.1"
"Iran (Islamic Republic of)","2094","Constant mortality","67792.299"
"Iran (Islamic Republic of)","2094","No change","67820.067"
"Iran (Islamic Republic of)","2094","Momentum","99219.396"
"Iran (Islamic Republic of)","2094","Instant replacement zero migration","116097.308"
"Iran (Islamic Republic of)","2094","Median PI","82682.609"
"Iran (Islamic Republic of)","2094","Upper 80 PI","98761.592"
"Iran (Islamic Republic of)","2094","Lower 80 PI","68714.014"
"Iran (Islamic Republic of)","2094","Upper 95 PI","109414.478"
"Iran (Islamic Republic of)","2094","Lower 95 PI","61561.953"
"Iran (Islamic Republic of)","2093","Medium","83130.842"
"Iran (Islamic Republic of)","2093","High","115707.601"
"Iran (Islamic Republic of)","2093","Low","58182.531"
"Iran (Islamic Republic of)","2093","Constant fertility","83173.99"
"Iran (Islamic Republic of)","2093","Instant replacement","111341.523"
"Iran (Islamic Republic of)","2093","Zero migration","87108.568"
