"Country or Area","Year(s)","Variant","Value"
"Iran (Islamic Republic of)","2101","Medium",""
"Iran (Islamic Republic of)","2100","Medium","2.1183"
"Iran (Islamic Republic of)","2099","Medium","2.1443"
"Iran (Islamic Republic of)","2098","Medium","2.1719"
"Iran (Islamic Republic of)","2097","Medium","2.1968"
"Iran (Islamic Republic of)","2096","Medium","2.2246"
"Iran (Islamic Republic of)","2095","Medium","2.2499"
"Iran (Islamic Republic of)","2094","Medium","2.2802"
"Iran (Islamic Republic of)","2093","Medium","2.3114"
"Iran (Islamic Republic of)","2092","Medium","2.338"
"Iran (Islamic Republic of)","2091","Medium","2.3708"
"Iran (Islamic Republic of)","2090","Medium","2.4028"
"Iran (Islamic Republic of)","2089","Medium","2.4333"
"Iran (Islamic Republic of)","2088","Medium","2.4655"
"Iran (Islamic Republic of)","2087","Medium","2.498"
"Iran (Islamic Republic of)","2086","Medium","2.5311"
"Iran (Islamic Republic of)","2085","Medium","2.5658"
"Iran (Islamic Republic of)","2084","Medium","2.5999"
"Iran (Islamic Republic of)","2083","Medium","2.6355"
"Iran (Islamic Republic of)","2082","Medium","2.6671"
"Iran (Islamic Republic of)","2081","Medium","2.7039"
"Iran (Islamic Republic of)","2080","Medium","2.7408"
"Iran (Islamic Republic of)","2079","Medium","2.7788"
"Iran (Islamic Republic of)","2078","Medium","2.82"
"Iran (Islamic Republic of)","2077","Medium","2.8618"
"Iran (Islamic Republic of)","2076","Medium","2.9082"
"Iran (Islamic Republic of)","2075","Medium","2.9491"
"Iran (Islamic Republic of)","2074","Medium","2.9948"
"Iran (Islamic Republic of)","2073","Medium","3.0464"
"Iran (Islamic Republic of)","2072","Medium","3.0984"
"Iran (Islamic Republic of)","2071","Medium","3.1524"
"Iran (Islamic Republic of)","2070","Medium","3.2036"
"Iran (Islamic Republic of)","2069","Medium","3.2592"
"Iran (Islamic Republic of)","2068","Medium","3.3149"
"Iran (Islamic Republic of)","2067","Medium","3.3772"
"Iran (Islamic Republic of)","2066","Medium","3.4354"
"Iran (Islamic Republic of)","2065","Medium","3.4998"
"Iran (Islamic Republic of)","2064","Medium","3.5625"
"Iran (Islamic Republic of)","2063","Medium","3.6245"
"Iran (Islamic Republic of)","2062","Medium","3.6929"
"Iran (Islamic Republic of)","2061","Medium","3.7664"
"Iran (Islamic Republic of)","2060","Medium","3.8435"
"Iran (Islamic Republic of)","2059","Medium","3.9208"
"Iran (Islamic Republic of)","2058","Medium","3.9966"
"Iran (Islamic Republic of)","2057","Medium","4.0842"
"Iran (Islamic Republic of)","2056","Medium","4.1668"
"Iran (Islamic Republic of)","2055","Medium","4.2605"
"Iran (Islamic Republic of)","2054","Medium","4.362"
"Iran (Islamic Republic of)","2053","Medium","4.4715"
"Iran (Islamic Republic of)","2052","Medium","4.5809"
"Iran (Islamic Republic of)","2051","Medium","4.6999"
"Iran (Islamic Republic of)","2050","Medium","4.8188"
"Iran (Islamic Republic of)","2049","Medium","4.9468"
"Iran (Islamic Republic of)","2048","Medium","5.0821"
"Iran (Islamic Republic of)","2047","Medium","5.2323"
"Iran (Islamic Republic of)","2046","Medium","5.3885"
"Iran (Islamic Republic of)","2045","Medium","5.5469"
"Iran (Islamic Republic of)","2044","Medium","5.7155"
"Iran (Islamic Republic of)","2043","Medium","5.8854"
"Iran (Islamic Republic of)","2042","Medium","6.0647"
"Iran (Islamic Republic of)","2041","Medium","6.2543"
"Iran (Islamic Republic of)","2040","Medium","6.4413"
"Iran (Islamic Republic of)","2039","Medium","6.6445"
"Iran (Islamic Republic of)","2038","Medium","6.8582"
